ax,ay,az,gx,gy,gz,temp,time
748,-16268,1036,106,216,-14,2736,167673
604,-16376,1264,190,-505,-15,2704,167694
892,-16220,580,340,-1206,2,2720,167715
736,-16380,972,783,-1607,-9,2704,167736
884,-16356,664,854,-297,79,2704,167757
760,-16236,960,969,316,60,2704,167778
756,-16268,1008,67,302,6,2640,167799
772,-16320,888,38,274,-13,2720,167820
760,-16408,780,697,233,74,2736,167841
772,-16364,864,1077,327,104,2816,167862
748,-16264,936,1054,330,99,2720,167883
700,-16296,1020,438,294,37,2720,167904
792,-16428,976,182,297,29,2736,167925
784,-16396,884,362,282,4,2736,167946
668,-16300,900,617,337,60,2720,167967
720,-16312,840,962,341,139,2720,167988
792,-16372,888,1210,354,168,2704,168009
720,-16436,988,1805,378,199,2720,168030
704,-16320,1092,2275,350,174,2672,168051
696,-16256,1260,1468,346,100,2784,168072
676,-16364,1172,1172,354,69,2720,168093
772,-16572,908,2039,409,125,2720,168114
720,-16588,1104,3826,453,179,2704,168135
720,-16240,1608,4230,477,169,2704,168156
684,-16276,1816,3300,440,130,2720,168177
696,-16344,1880,2925,418,65,2704,168198
672,-16376,1876,3525,440,130,2704,168219
708,-16280,2056,3787,506,154,2736,168240
728,-16340,2188,3535,532,112,2736,168261
732,-16316,2444,3694,661,122,2720,168282
836,-16308,2324,3897,1037,117,2704,168303
676,-16352,2588,4427,843,86,2704,168324
1068,-16132,2628,3673,2188,11,2704,168345
356,-16516,3392,2946,3751,-229,2720,168366
940,-16332,2804,5035,1394,35,2704,168387
72,-16332,3808,4593,4164,-318,2736,168408
464,-16428,2800,3520,5627,-462,2704,168429
488,-16316,3696,4505,4865,-398,2704,168450
-872,-16304,5180,6156,1644,-6,2720,168471
656,-16144,4324,5894,592,177,2704,168492
680,-16232,4392,6195,694,150,2704,168513
668,-15900,4964,5637,768,101,2704,168534
768,-15960,5248,4658,1017,54,2704,168555
640,-16048,4820,4163,4460,-703,2640,168576
8,-15900,4292,5835,7479,-1624,2736,168597
-136,-16248,4332,6788,4378,-785,2736,168618
744,-15764,5968,6494,1154,244,2704,168639
504,-15580,6312,5807,1908,-67,2704,168660
692,-15700,6500,5804,1398,65,2704,168681
512,-15564,6604,5919,1021,169,2704,168702
496,-15280,7052,4205,1033,74,2784,168723
452,-15376,7016,2865,1418,-158,2768,168744
576,-15948,6632,4077,2209,-340,2720,168765
580,-15504,7100,5329,1522,-27,2672,168786
504,-15592,7068,6541,1458,157,2736,168807
484,-15216,7648,7494,1142,371,2704,168828
