ax,ay,az,gx,gy,gz,temp,time
-196,6936,-17060,413,-2610,-6116,2288,24765
968,6468,-18800,-524,-1485,-7101,2192,24786
-140,6836,-17324,-222,-1161,-7329,2192,24807
-2036,7348,-16128,561,-1494,-5825,2176,24828
-228,7984,-16176,-981,-5439,-5815,2192,24849
2256,10200,-19528,-6549,-5746,-5695,2208,24870
3268,6924,-17552,-8265,-402,-4627,2208,24891
916,7520,-17744,-3343,911,-5720,2192,24912
1680,8688,-12036,-1367,4579,-202,2192,24933
5068,8456,-12756,-3395,3092,2093,2192,24954
6724,8720,-15284,-7761,-202,3730,2208,24975
7324,6500,-13028,-5081,-602,3403,2192,24996
5780,6652,-13944,-1584,949,5034,2240,25017
5848,8464,-14832,-103,1232,7529,2176,25038
7200,8924,-17432,-1624,1761,8628,2176,25059
8324,7068,-16952,-5841,563,6577,2192,25080
6680,5788,-12232,-111,-3017,6713,2192,25101
5860,6536,-13840,-2016,-4284,7880,2288,25122
4788,7620,-15488,-2891,-4444,8809,2208,25143
5648,6132,-14628,-3134,-4058,8383,2176,25164
4820,4632,-12852,-601,-3128,7596,2208,25185
4176,4696,-13372,1556,-1637,8822,2128,25206
5260,5628,-15344,1056,-1717,8465,2192,25227
6196,5096,-15788,-831,-2555,6652,2240,25248
6788,4540,-15480,-700,-1854,5420,2208,25269
6168,4236,-14968,-1169,-727,4906,2192,25290
6208,4068,-15420,-1704,-781,5454,2240,25311
6656,2940,-16488,-3278,-595,4292,2176,25332
6344,228,-14368,-4314,-276,1871,2240,25353
5676,1640,-14104,-1511,-1804,1644,2192,25374
4716,1248,-13504,359,-3538,550,2208,25395
3556,640,-11280,1278,-3107,-790,2192,25416
4180,-1208,-8360,1991,-2965,-3723,2144,25437
2460,-884,-10232,2143,-1931,-4585,2240,25458
2148,-944,-11612,4181,650,-3754,2192,25479
564,-800,-11788,5818,1646,-1596,2176,25500
564,-1664,-11468,5490,27,-3780,2176,25521
-116,-1404,-11068,4944,-3929,-6364,2192,25542
-616,-976,-10480,6729,-3504,-6033,2176,25563
-2784,-204,-10452,8057,-1197,-4574,2208,25584
-4504,-808,-11008,7565,165,-3665,2176,25605
-6092,512,-11640,7448,-786,-5136,2192,25626
-6792,836,-11508,6755,-240,-4016,2176,25647
-5932,932,-10620,6756,-1422,-3199,2208,25668
-5364,2368,-11816,6684,-397,43,2240,25689
-4016,2900,-14572,3899,-294,2945,2176,25710
-2032,440,-16072,2018,-774,583,2208,25731
312,1020,-14992,4791,-2910,-367,2192,25752
2096,1820,-15628,5018,946,-165,2144,25773
980,2972,-16012,2032,4542,-681,2176,25794
-3872,4708,-17768,221,5797,-702,2192,25815
-4316,2672,-14816,707,1086,-310,2192,25836
-1372,2672,-12772,1973,-2065,2200,2192,25857
1576,2520,-14356,-286,-2747,2713,2192,25878
2616,3236,-17420,-2384,243,2199,2128,25899
304,4256,-17740,-2735,3879,1258,2176,25920
-512,1844,-15024,-938,-298,-763,2208,25941
76,3668,-16528,-1473,-2624,372,2176,25962
2668,4028,-19548,-4449,-5106,1230,2176,25983
3984,4680,-21648,-6016,-4572,925,2192,26004
2724,2536,-19904,-2410,-3611,20,2240,26025
268,4844,-20556,-1862,-3933,1895,2208,26046
80,3580,-20924,-2190,-6427,3140,2208,26067
3172,4128,-23516,-1563,-6946,4085,2192,26088
4816,3812,-24736,-1842,-3485,3769,2240,26109
3416,3720,-23264,-863,-1836,2921,2144,26130
1232,2468,-20812,-347,-2848,2074,2144,26151
-60,3380,-19976,534,-3055,2932,2176,26172
272,2936,-18640,1076,-3695,3396,2176,26193
668,2768,-17652,2119,-2414,3964,2176,26214
524,2800,-16800,2727,826,4779,2208,26235
-344,2616,-16512,3539,2514,5194,2256,26256
-388,2668,-17276,3042,3230,5992,2240,26277
-24,2084,-17356,2726,751,5306,2208,26298
864,2004,-17672,2438,327,5399,2192,26319
1012,1792,-16884,2281,1159,5253,2208,26340
0,1976,-16848,1726,1896,5367,2240,26361
-552,1740,-16412,638,1583,5414,2192,26382
-376,1380,-16368,-186,-574,4660,2288,26403
-60,1092,-15700,-808,-1368,4248,2240,26424
-308,812,-14860,-138,-684,4174,2256,26445
564,708,-14508,1429,243,4170,2176,26466
340,1268,-15400,393,1086,4434,2192,26487
212,1300,-15512,-159,756,3886,2208,26508
-756,1276,-15448,-54,-306,3353,2192,26529
-1000,1656,-14824,706,-698,3993,2192,26550
-464,1096,-14296,609,-2562,3626,2288,26571
1392,1016,-14780,486,-795,3222,2208,26592
788,1688,-15492,2112,1061,3470,2256,26613
